ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
5,"$30,000-$34,999",2018,"2018",22918,2539,"King County, WA","05000US53033","king-county-wa",0.025536058902967878
15,"$200,000+",2018,"2018",156547,5175,"King County, WA","05000US53033","king-county-wa",0.17443029117213163
0,"< $10,000",2018,"2018",7598669,46912,"United States","01000US","united-states",0.06253009993895664
13,"$125,000-$149,999",2018,"2018",72967,4086.9999999999995,"King County, WA","05000US53033","king-county-wa",0.08130245265611559
1,"$10,000-$14,999",2018,"2018",5267344,40230,"United States","01000US","united-states",0.04334542624936862
12,"$100,000-$124,999",2018,"2018",97189,5571,"King County, WA","05000US53033","king-county-wa",0.10829147520379374
11,"$75,000-$99,999",2018,"2018",107463,6649,"King County, WA","05000US53033","king-county-wa",0.11973913508550646
2,"$15,000-$19,999",2018,"2018",5241202,35766,"United States","01000US","united-states",0.043130301485728544
10,"$60,000-$74,999",2018,"2018",75990,4724,"King County, WA","05000US53033","king-county-wa",0.08467078785393704
3,"$20,000-$24,999",2018,"2018",5695642,42544,"United States","01000US","united-states",0.04686992728285952
9,"$50,000-$59,999",2018,"2018",52033,3961.0000000000005,"King County, WA","05000US53033","king-county-wa",0.05797703782608114
8,"$45,000-$49,999",2018,"2018",26507,2748,"King County, WA","05000US53033","king-county-wa",0.029535051633692713
4,"$25,000-$29,999",2018,"2018",5222981,35428,"United States","01000US","united-states",0.04298035931151517
7,"$40,000-$44,999",2018,"2018",25911,2806,"King County, WA","05000US53033","king-county-wa",0.028870967023073596
5,"$30,000-$34,999",2018,"2018",5563253,41130,"United States","01000US","united-states",0.045780486829430304
6,"$35,000-$39,999",2018,"2018",25747,2761,"King County, WA","05000US53033","king-county-wa",0.028688232331560957
14,"$150,000-$199,999",2018,"2018",104590,4432,"King County, WA","05000US53033","king-county-wa",0.11653793527626366
6,"$35,000-$39,999",2018,"2018",5151740,37565,"United States","01000US","united-states",0.04239411100279805
4,"$25,000-$29,999",2018,"2018",24904,2672,"King County, WA","05000US53033","king-county-wa",0.02774893144774902
7,"$40,000-$44,999",2018,"2018",5176218,33265,"United States","01000US","united-states",0.04259554256749784
3,"$20,000-$24,999",2018,"2018",23327,3013,"King County, WA","05000US53033","king-county-wa",0.025991781395825628
2,"$15,000-$19,999",2018,"2018",20552,2864,"King County, WA","05000US53033","king-county-wa",0.02289977670712086
8,"$45,000-$49,999",2018,"2018",4701684,37127,"United States","01000US","united-states",0.03869056151825977
1,"$10,000-$14,999",2018,"2018",22543,2822,"King County, WA","05000US53033","king-county-wa",0.025118220431521288
9,"$50,000-$59,999",2018,"2018",9059982,48107,"United States","01000US","united-states",0.07455537014510677
0,"< $10,000",2018,"2018",38288,3543,"King County, WA","05000US53033","king-county-wa",0.04266186505265879
15,"$200,000+",2018,"2018",9280369,45589,"United States","01000US","united-states",0.0763689536997065
10,"$60,000-$74,999",2018,"2018",12037965,51619,"United States","01000US","united-states",0.09906144806566283
14,"$150,000-$199,999",2018,"2018",8033342,47072,"United States","01000US","united-states",0.06610706139507035
11,"$75,000-$99,999",2018,"2018",15254871,64508,"United States","01000US","united-states",0.12553364387709104
13,"$125,000-$149,999",2018,"2018",7104900,42113,"United States","01000US","united-states",0.05846683242240095
12,"$100,000-$124,999",2018,"2018",11130018,56888,"United States","01000US","united-states",0.09158987420854708
1,"$10,000-$14,999",2017,"2017",5422566,37502,"United States","01000US","united-states",0.04516440718557847
6,"$35,000-$39,999",2017,"2017",5206457,37923,"United States","01000US","united-states",0.04336444110448915
10,"$60,000-$74,999",2017,"2017",76129,4316,"King County, WA","05000US53033","king-county-wa",0.08684190413613814
5,"$30,000-$34,999",2017,"2017",27078,2862,"King County, WA","05000US53033","king-county-wa",0.030888427277362747
3,"$20,000-$24,999",2017,"2017",5800084,39652,"United States","01000US","united-states",0.04830874451072771
4,"$25,000-$29,999",2017,"2017",21692,2613,"King County, WA","05000US53033","king-county-wa",0.024744507146043013
7,"$40,000-$44,999",2017,"2017",5292283,43085,"United States","01000US","united-states",0.044079283563042804
15,"$200,000+",2017,"2017",137504,5025,"King County, WA","05000US53033","king-county-wa",0.15685361933475467
14,"$150,000-$199,999",2017,"2017",94469,4207,"King County, WA","05000US53033","king-county-wa",0.1077627164659569
3,"$20,000-$24,999",2017,"2017",23347,2271,"King County, WA","05000US53033","king-county-wa",0.0266323994255332
9,"$50,000-$59,999",2017,"2017",57179,3880.0000000000005,"King County, WA","05000US53033","king-county-wa",0.06522525235587283
8,"$45,000-$49,999",2017,"2017",4704433,34498,"United States","01000US","united-states",0.039183096635296365
12,"$100,000-$124,999",2017,"2017",94520,5490,"King County, WA","05000US53033","king-county-wa",0.10782089320689588
2,"$15,000-$19,999",2017,"2017",22917,2878,"King County, WA","05000US53033","king-county-wa",0.026141889648988923
4,"$25,000-$29,999",2017,"2017",5302228,40250,"United States","01000US","united-states",0.04416211520206031
1,"$10,000-$14,999",2017,"2017",25479,2661,"King County, WA","05000US53033","king-county-wa",0.02906441534086437
9,"$50,000-$59,999",2017,"2017",9143153,49980,"United States","01000US","united-states",0.07615307680017971
0,"< $10,000",2017,"2017",7796632,43579,"United States","01000US","united-states",0.06493793940435415
8,"$45,000-$49,999",2017,"2017",23116,2504,"King County, WA","05000US53033","king-county-wa",0.026368893010691973
0,"< $10,000",2017,"2017",39276,3519.9999999999995,"King County, WA","05000US53033","king-county-wa",0.04480293484547231
2,"$15,000-$19,999",2017,"2017",5380478,37908,"United States","01000US","united-states",0.04481385735923673
10,"$60,000-$74,999",2017,"2017",11984757,55936.00000000001,"United States","01000US","united-states",0.0998207205164883
7,"$40,000-$44,999",2017,"2017",25203,2609,"King County, WA","05000US53033","king-county-wa",0.028749576507547576
15,"$200,000+",2017,"2017",8324885,42988,"United States","01000US","united-states",0.06933774451304317
5,"$30,000-$34,999",2017,"2017",5625903,36130,"United States","01000US","united-states",0.046857995620259385
14,"$150,000-$199,999",2017,"2017",7520316,39638,"United States","01000US","united-states",0.06263651083052207
11,"$75,000-$99,999",2017,"2017",15031143,72691,"United States","01000US","united-states",0.12519398803383075
13,"$125,000-$149,999",2017,"2017",72599,3782.9999999999995,"King County, WA","05000US53033","king-county-wa",0.08281516108683278
11,"$75,000-$99,999",2017,"2017",109047,5873,"King County, WA","05000US53033","king-county-wa",0.12439213861121853
13,"$125,000-$149,999",2017,"2017",6762630,41706,"United States","01000US","united-states",0.056325764401098766
6,"$35,000-$39,999",2017,"2017",27084,3109,"King County, WA","05000US53033","king-county-wa",0.030895271599826152
12,"$100,000-$124,999",2017,"2017",10764870,53287,"United States","01000US","united-states",0.08966031431979216
3,"$20,000-$24,999",2016,"2016",23634,2517,"King County, WA","05000US53033","king-county-wa",0.027444568567294585
12,"$100,000-$124,999",2016,"2016",10312781,48680,"United States","01000US","united-states",0.08676405317463018
15,"$200,000+",2016,"2016",121788,5164,"King County, WA","05000US53033","king-county-wa",0.14142418196977544
14,"$150,000-$199,999",2016,"2016",6924913,35488,"United States","01000US","united-states",0.058261056815003424
11,"$75,000-$99,999",2016,"2016",14672995,70478,"United States","01000US","united-states",0.12344764408466376
0,"< $10,000",2016,"2016",7963784,44419,"United States","01000US","united-states",0.0670013431340459
15,"$200,000+",2016,"2016",7595040,40371,"United States","01000US","united-states",0.0638990059445113
14,"$150,000-$199,999",2016,"2016",87571,4114,"King County, WA","05000US53033","king-county-wa",0.10169029000620099
