ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
1,"$800 to $1,499",2018,"2018",12464,1566.098975160893,"King County, WA","05000US53033","king-county-wa",0.02481810542915968
5,"No Real Estate Taxes Paid",2018,"2018",8285,1336.4000149655792,"King County, WA","05000US53033","king-county-wa",0.016496951498763474
0,"Less Than $800",2018,"2018",10920375,55918.75696937478,"United States","01000US","united-states",0.14053018519466506
3,"$2,000 to $2,999",2018,"2018",38030,2993.3292501828128,"King County, WA","05000US53033","king-county-wa",0.07572469106795111
1,"$800 to $1,499",2018,"2018",12785402,66415.01446209283,"United States","01000US","united-states",0.16453051391076234
2,"$1,500 to $1,999",2018,"2018",13034,1894.256846364822,"King County, WA","05000US53033","king-county-wa",0.025953079762810277
4,"$3,000 or More",2018,"2018",416222,7644.493246775747,"King County, WA","05000US53033","king-county-wa",0.8287741878959966
2,"$1,500 to $1,999",2018,"2018",7420205,44082.08082656716,"United States","01000US","united-states",0.09548781821433602
0,"Less Than $800",2018,"2018",14179,1753.7402886402533,"King County, WA","05000US53033","king-county-wa",0.02823298434531893
3,"$2,000 to $2,999",2018,"2018",11882220,50237.13242214369,"United States","01000US","united-states",0.152907805558303
5,"No Real Estate Taxes Paid",2018,"2018",3235342,31083.448489509654,"United States","01000US","united-states",0.04163439537818785
4,"$3,000 or More",2018,"2018",31464850,83970.28062951796,"United States","01000US","united-states",0.40490928174374574
0,"Less Than $800",2017,"2017",11233460,60452.196494420285,"United States","01000US","united-states",0.14649023737905856
2,"$1,500 to $1,999",2017,"2017",7428430,44799.10793754715,"United States","01000US","united-states",0.09687064128538492
3,"$2,000 to $2,999",2017,"2017",49011,3435.9943247915876,"King County, WA","05000US53033","king-county-wa",0.09881648453566676
1,"$800 to $1,499",2017,"2017",15665,1758.6233252177683,"King County, WA","05000US53033","king-county-wa",0.0315839348360821
1,"$800 to $1,499",2017,"2017",13053304,58994.79510939927,"United States","01000US","united-states",0.17022196202603782
0,"Less Than $800",2017,"2017",15761,2030.438868816296,"King County, WA","05000US53033","king-county-wa",0.03177749102786403
3,"$2,000 to $2,999",2017,"2017",11879515,53411.97335804023,"United States","01000US","united-states",0.15491513498940548
5,"No Real Estate Taxes Paid",2017,"2017",8993,1606.1211037776698,"King County, WA","05000US53033","king-county-wa",0.018131779507238197
4,"$3,000 or More",2017,"2017",391071,7910.762099823254,"King County, WA","05000US53033","king-county-wa",0.7884813903786443
5,"No Real Estate Taxes Paid",2017,"2017",3096474,27730.9681944212,"United States","01000US","united-states",0.040379652511166014
2,"$1,500 to $1,999",2017,"2017",15479,1954.1875549700953,"King County, WA","05000US53033","king-county-wa",0.031208919714504617
4,"$3,000 or More",2017,"2017",29992835,84090.79494213383,"United States","01000US","united-states",0.3911223718089472
1,"$800 to $1,499",2016,"2016",19926,2145.90074327775,"King County, WA","05000US53033","king-county-wa",0.04072889306774863
4,"$3,000 or More",2016,"2016",28308224,71414.12916923373,"United States","01000US","united-states",0.3773294406913738
5,"No Real Estate Taxes Paid",2016,"2016",9583,1401.543434931647,"King County, WA","05000US53033","king-county-wa",0.01958772369106871
0,"Less Than $800",2016,"2016",14275,1727.0020266345953,"King County, WA","05000US53033","king-county-wa",0.02917820679223686
3,"$2,000 to $2,999",2016,"2016",11657232,55850.34762649199,"United States","01000US","united-states",0.15538300214699394
0,"Less Than $800",2016,"2016",11453745,58647.47648450017,"United States","01000US","united-states",0.15267065834549068
5,"No Real Estate Taxes Paid",2016,"2016",3022454,30031.268721117995,"United States","01000US","united-states",0.04028726342335731
4,"$3,000 or More",2016,"2016",369321,7429.548034705745,"King County, WA","05000US53033","king-county-wa",0.7548948869152861
2,"$1,500 to $1,999",2016,"2016",7444572,43399.90066808909,"United States","01000US","united-states",0.0992310993775753
2,"$1,500 to $1,999",2016,"2016",17399,2113.659385993874,"King County, WA","05000US53033","king-county-wa",0.03556368616309136
1,"$800 to $1,499",2016,"2016",13136342,62565.102932865055,"United States","01000US","united-states",0.17509853601520897
3,"$2,000 to $2,999",2016,"2016",58731,3156.342820417326,"King County, WA","05000US53033","king-county-wa",0.12004660337056834
5,"No Real Estate Taxes Paid",2015,"2015",2989475,26076.182561870515,"United States","01000US","united-states",0.04012367402194321
1,"$800 to $1,499",2015,"2015",24343,2472.1585709658675,"King County, WA","05000US53033","king-county-wa",0.04958558162178238
0,"Less Than $800",2015,"2015",11874322,58014.34996619371,"United States","01000US","united-states",0.1593729417906451
5,"No Real Estate Taxes Paid",2015,"2015",9140,1376.9124881414941,"King County, WA","05000US53033","king-county-wa",0.018617763464778003
0,"Less Than $800",2015,"2015",17092,1866.2189046304295,"King County, WA","05000US53033","king-county-wa",0.03481562507002031
4,"$3,000 or More",2015,"2015",347422,6945.42907241878,"King County, WA","05000US53033","king-county-wa",0.7076827810131404
1,"$800 to $1,499",2015,"2015",13422342,61187.195564104746,"United States","01000US","united-states",0.1801499176340452
2,"$1,500 to $1,999",2015,"2015",20201,1962.9378492453602,"King County, WA","05000US53033","king-county-wa",0.04114851638424293
2,"$1,500 to $1,999",2015,"2015",7457994,42901.90718371387,"United States","01000US","united-states",0.10009855245941456
4,"$3,000 or More",2015,"2015",27144833,69659.24044949099,"United States","01000US","united-states",0.36432832877748994
3,"$2,000 to $2,999",2015,"2015",11617546,51379.14671342839,"United States","01000US","united-states",0.155926585316462
3,"$2,000 to $2,999",2015,"2015",72731,3890.101541091183,"King County, WA","05000US53033","king-county-wa",0.148149732446036
1,"$800 to $1,499",2014,"2014",13435923,59401.129627305905,"United States","01000US","united-states",0.18158617023368542
3,"$2,000 to $2,999",2014,"2014",73366,3625.17434063522,"King County, WA","05000US53033","king-county-wa",0.15588626502747335
5,"No Real Estate Taxes Paid",2014,"2014",3365156,27141.145885905407,"United States","01000US","united-states",0.04548000091090935
4,"$3,000 or More",2014,"2014",322908,7719.515852694391,"King County, WA","05000US53033","king-county-wa",0.6861069441906519
2,"$1,500 to $1,999",2014,"2014",20566,2304.56460096045,"King County, WA","05000US53033","king-county-wa",0.043698128922866404
3,"$2,000 to $2,999",2014,"2014",11386913,53063.95997284786,"United States","01000US","united-states",0.15389385027393843
2,"$1,500 to $1,999",2014,"2014",7247931,41039.688168893284,"United States","01000US","united-states",0.09795560992780368
1,"$800 to $1,499",2014,"2014",24120,2064.165206566567,"King County, WA","05000US53033","king-county-wa",0.05124958035687726
5,"No Real Estate Taxes Paid",2014,"2014",13250,1697.4009544005798,"King County, WA","05000US53033","king-county-wa",0.02815327279140231
0,"Less Than $800",2014,"2014",16428,1893.0615415247337,"King County, WA","05000US53033","king-county-wa",0.03490580871072884
4,"$3,000 or More",2014,"2014",25513711,67961.02942127937,"United States","01000US","united-states",0.344817179209724
0,"Less Than $800",2014,"2014",13042361,61520.61616238901,"United States","01000US","united-states",0.17626718944393918
4,"$3,000 or More",2013,"2013",303101,5943.489295018541,"King County, WA","05000US53033","king-county-wa",0.6548084297395681
5,"No Real Estate Taxes Paid",2013,"2013",3307428,27278.00813842536,"United States","01000US","united-states",0.04478947816664137
1,"$800 to $1,499",2013,"2013",13616142,58977.3145963768,"United States","01000US","united-states",0.18439098139789847
0,"Less Than $800",2013,"2013",13283126,64410.80636818639,"United States","01000US","united-states",0.1798812497087605
3,"$2,000 to $2,999",2013,"2013",84736,4874.566031966334,"King County, WA","05000US53033","king-county-wa",0.18306058740291864
3,"$2,000 to $2,999",2013,"2013",11409282,54216.952717761626,"United States","01000US","united-states",0.15450549098455185
5,"No Real Estate Taxes Paid",2013,"2013",11541,1475.5653153961027,"King County, WA","05000US53033","king-county-wa",0.024932758676561133
2,"$1,500 to $1,999",2013,"2013",7341688,41048.78697355136,"United States","01000US","united-states",0.09942177860932813
2,"$1,500 to $1,999",2013,"2013",21324,2203.4938166466454,"King County, WA","05000US53033","king-county-wa",0.04606759778346674
4,"$3,000 or More",2013,"2013",24886195,72858.25474165574,"United States","01000US","united-states",0.3370110211328197
1,"$800 to $1,499",2013,"2013",21079,2214.1838225404863,"King County, WA","05000US53033","king-county-wa",0.045538308651176855
0,"Less Than $800",2013,"2013",21104,2282.568728428566,"King County, WA","05000US53033","king-county-wa",0.04559231774630848
